 ,Area,Mean,Min,Max
1,691800,255,255,255
2,3272825,255,255,255
3,1091775,255,255,255
4,1007325,255,255,255
5,25,255,255,255
6,25,255,255,255
7,25,255,255,255
8,50,255,255,255
9,27500,255,255,255
10,4425,255,255,255
11,48050,255,255,255
12,25,255,255,255
13,400,255,255,255
14,25,255,255,255
15,25,255,255,255
16,176925,255,255,255
17,25,255,255,255
18,174275,255,255,255
19,9500,255,255,255
20,75,255,255,255
21,25,255,255,255
22,37500,255,255,255
23,55600,255,255,255
24,25,255,255,255
25,25,255,255,255
26,25,255,255,255
27,25,255,255,255
28,50,255,255,255
29,25,255,255,255
30,25,255,255,255
31,25,255,255,255
32,25,255,255,255
33,50,255,255,255
34,50,255,255,255
35,25,255,255,255
36,25,255,255,255
37,25,255,255,255
38,125,255,255,255
39,25,255,255,255
40,25,255,255,255
41,75,255,255,255
42,25,255,255,255
43,25,255,255,255
44,75,255,255,255
45,25,255,255,255
46,25,255,255,255
47,25,255,255,255
48,25,255,255,255
49,25,255,255,255
50,125,255,255,255
51,100,255,255,255
52,25,255,255,255
53,2929725,255,255,255
54,25,255,255,255
55,50,255,255,255
56,25,255,255,255
57,25,255,255,255
58,25,255,255,255
59,25,255,255,255
60,75,255,255,255
61,25,255,255,255
62,125,255,255,255
63,25,255,255,255
64,75,255,255,255
65,100,255,255,255
66,25,255,255,255
67,25,255,255,255
68,25,255,255,255
69,25,255,255,255
70,25,255,255,255
71,25,255,255,255
72,25,255,255,255
73,25,255,255,255
74,50,255,255,255
75,25,255,255,255
76,25,255,255,255
77,25,255,255,255
78,25,255,255,255
79,50,255,255,255
80,25,255,255,255
81,25,255,255,255
82,25,255,255,255
83,26700,255,255,255
84,25,255,255,255
85,25,255,255,255
86,25,255,255,255
87,25,255,255,255
88,25,255,255,255
89,25,255,255,255
90,25,255,255,255
91,25,255,255,255
92,25,255,255,255
93,275,255,255,255
94,50,255,255,255
95,25,255,255,255
96,25,255,255,255
97,25,255,255,255
98,25,255,255,255
99,50,255,255,255
100,25,255,255,255
101,25,255,255,255
102,25,255,255,255
103,50,255,255,255
104,25,255,255,255
105,25,255,255,255
106,25,255,255,255
107,50,255,255,255
108,25,255,255,255
109,150,255,255,255
110,25,255,255,255
111,25,255,255,255
112,25,255,255,255
113,75,255,255,255
114,25,255,255,255
115,75,255,255,255
116,100,255,255,255
117,50,255,255,255
118,25,255,255,255
119,25,255,255,255
120,75,255,255,255
121,25,255,255,255
122,25,255,255,255
123,25,255,255,255
124,25,255,255,255
125,25,255,255,255
126,134875,255,255,255
127,25,255,255,255
128,25,255,255,255
129,25,255,255,255
130,50,255,255,255
131,675,255,255,255
132,50,255,255,255
133,25,255,255,255
134,25,255,255,255
135,25,255,255,255
136,25,255,255,255
137,50,255,255,255
138,25,255,255,255
139,25,255,255,255
140,25,255,255,255
141,700,255,255,255
142,25,255,255,255
143,25,255,255,255
144,25,255,255,255
145,25,255,255,255
146,25,255,255,255
147,25,255,255,255
148,25,255,255,255
149,25,255,255,255
150,25,255,255,255
151,25,255,255,255
152,50,255,255,255
153,25,255,255,255
154,25,255,255,255
155,25,255,255,255
156,1000,255,255,255
157,25,255,255,255
158,25,255,255,255
159,25,255,255,255
160,25,255,255,255
161,25,255,255,255
162,25,255,255,255
163,25,255,255,255
164,25,255,255,255
165,75,255,255,255
166,25,255,255,255
167,50,255,255,255
168,50,255,255,255
169,16650,255,255,255
170,25,255,255,255
171,75,255,255,255
172,25,255,255,255
173,25,255,255,255
174,50,255,255,255
175,375,255,255,255
176,75,255,255,255
177,25,255,255,255
178,25,255,255,255
179,25,255,255,255
180,25,255,255,255
181,575,255,255,255
182,25,255,255,255
183,25,255,255,255
184,25,255,255,255
185,25,255,255,255
186,25,255,255,255
187,25,255,255,255
188,25,255,255,255
189,50,255,255,255
190,25,255,255,255
191,50,255,255,255
192,50,255,255,255
193,25,255,255,255
194,25,255,255,255
195,25,255,255,255
196,25,255,255,255
197,50,255,255,255
198,25,255,255,255
199,25,255,255,255
200,50,255,255,255
201,25,255,255,255
202,25,255,255,255
203,25,255,255,255
204,25,255,255,255
205,25,255,255,255
206,25,255,255,255
207,25,255,255,255
208,25,255,255,255
209,25,255,255,255
210,100,255,255,255
211,25,255,255,255
212,25,255,255,255
213,75,255,255,255
214,50,255,255,255
215,25,255,255,255
216,25,255,255,255
217,25,255,255,255
218,25,255,255,255
219,25,255,255,255
220,25,255,255,255
221,50,255,255,255
222,25,255,255,255
223,50,255,255,255
224,25,255,255,255
225,25,255,255,255
226,25,255,255,255
227,25,255,255,255
228,25,255,255,255
229,50,255,255,255
230,75,255,255,255
231,25,255,255,255
232,100,255,255,255
233,25,255,255,255
234,50,255,255,255
235,25,255,255,255
236,25,255,255,255
237,25,255,255,255
238,25,255,255,255
239,50,255,255,255
240,25,255,255,255
241,50,255,255,255
242,25,255,255,255
243,25,255,255,255
244,25,255,255,255
245,25,255,255,255
246,25,255,255,255
247,25,255,255,255
248,50,255,255,255
249,25,255,255,255
250,25,255,255,255
251,25,255,255,255
252,125,255,255,255
253,175,255,255,255
254,25,255,255,255
255,4225,255,255,255
256,25,255,255,255
257,25,255,255,255
258,25,255,255,255
259,25,255,255,255
260,50,255,255,255
261,25,255,255,255
262,25,255,255,255
263,25,255,255,255
264,25,255,255,255
265,175,255,255,255
266,25,255,255,255
267,25,255,255,255
268,25,255,255,255
269,50,255,255,255
270,25,255,255,255
271,25,255,255,255
272,25,255,255,255
273,50,255,255,255
274,225,255,255,255
275,25,255,255,255
276,25,255,255,255
277,25,255,255,255
278,25,255,255,255
279,75,255,255,255
280,25,255,255,255
281,50,255,255,255
282,50,255,255,255
283,25,255,255,255
284,406800,255,255,255
285,25,255,255,255
286,150,255,255,255
287,25,255,255,255
288,25,255,255,255
289,25,255,255,255
290,25,255,255,255
291,25,255,255,255
292,25,255,255,255
293,25,255,255,255
294,50,255,255,255
295,25,255,255,255
296,100,255,255,255
297,50,255,255,255
298,25,255,255,255
299,25,255,255,255
300,25,255,255,255
301,25,255,255,255
302,25,255,255,255
303,25,255,255,255
304,50,255,255,255
305,25,255,255,255
306,25,255,255,255
307,75,255,255,255
308,25,255,255,255
309,25,255,255,255
310,25,255,255,255
311,25,255,255,255
312,25,255,255,255
313,25,255,255,255
314,25,255,255,255
315,50,255,255,255
316,25,255,255,255
317,25,255,255,255
318,25,255,255,255
319,25,255,255,255
320,25,255,255,255
321,25,255,255,255
322,25,255,255,255
323,50,255,255,255
324,25,255,255,255
325,25,255,255,255
326,25,255,255,255
327,75,255,255,255
328,50,255,255,255
329,25,255,255,255
330,50,255,255,255
331,25,255,255,255
332,25,255,255,255
333,25,255,255,255
334,75,255,255,255
335,25,255,255,255
336,75,255,255,255
337,25,255,255,255
338,50,255,255,255
339,150,255,255,255
340,25,255,255,255
341,25,255,255,255
342,25,255,255,255
343,25,255,255,255
344,25,255,255,255
345,25,255,255,255
346,25,255,255,255
347,25,255,255,255
348,25,255,255,255
349,25,255,255,255
350,25,255,255,255
351,25,255,255,255
352,25,255,255,255
353,25,255,255,255
354,25,255,255,255
355,25,255,255,255
356,25,255,255,255
357,25,255,255,255
358,25,255,255,255
359,50,255,255,255
360,25,255,255,255
361,25,255,255,255
362,50,255,255,255
363,25,255,255,255
364,50,255,255,255
365,25,255,255,255
366,4138700,255,255,255
367,75,255,255,255
368,25,255,255,255
369,25,255,255,255
370,25,255,255,255
371,200,255,255,255
372,250,255,255,255
373,25,255,255,255
374,50,255,255,255
375,75,255,255,255
376,25,255,255,255
377,50,255,255,255
378,25,255,255,255
379,25,255,255,255
380,25,255,255,255
381,25,255,255,255
382,25,255,255,255
383,25,255,255,255
384,25,255,255,255
385,50,255,255,255
386,50,255,255,255
387,25,255,255,255
388,125,255,255,255
389,25,255,255,255
390,75,255,255,255
391,25,255,255,255
392,25,255,255,255
393,25,255,255,255
394,125,255,255,255
395,25,255,255,255
396,25,255,255,255
397,25,255,255,255
398,25,255,255,255
399,25,255,255,255
400,50,255,255,255
401,25,255,255,255
402,5275,255,255,255
403,25,255,255,255
