 ,Area,Mean,Min,Max
1,2650,255,255,255
2,850,255,255,255
3,400,255,255,255
4,1200,255,255,255
5,387025,255,255,255
6,250,255,255,255
7,175,255,255,255
8,6800,255,255,255
9,525,255,255,255
10,136050,255,255,255
11,800,255,255,255
12,425,255,255,255
13,100,255,255,255
14,2650,255,255,255
15,4400,255,255,255
16,25,255,255,255
17,875,255,255,255
18,89275,255,255,255
19,700,255,255,255
20,43450,255,255,255
21,6775,255,255,255
22,852650,255,255,255
23,33250,255,255,255
24,990725,255,255,255
25,1250,255,255,255
26,375,255,255,255
27,11050,255,255,255
28,1500,255,255,255
29,50,255,255,255
30,2350,255,255,255
31,75,255,255,255
32,25,255,255,255
33,175,255,255,255
34,16225,255,255,255
35,467975,255,255,255
36,3400,255,255,255
37,1450,255,255,255
38,275,255,255,255
39,2775,255,255,255
40,3300,255,255,255
41,11450,255,255,255
42,50,255,255,255
43,417050,255,255,255
44,6225,255,255,255
45,176275,255,255,255
46,24925,255,255,255
47,275,255,255,255
48,25,255,255,255
49,75,255,255,255
50,875,255,255,255
51,225,255,255,255
52,5650,255,255,255
53,5150,255,255,255
54,575,255,255,255
55,1475,255,255,255
56,900,255,255,255
57,25,255,255,255
58,50,255,255,255
59,8500,255,255,255
60,25,255,255,255
61,25,255,255,255
62,75,255,255,255
63,75,255,255,255
64,2750,255,255,255
65,50,255,255,255
66,600,255,255,255
67,25,255,255,255
68,25,255,255,255
69,25,255,255,255
70,25,255,255,255
71,75,255,255,255
72,25,255,255,255
73,50,255,255,255
74,50,255,255,255
75,400,255,255,255
76,200,255,255,255
77,450,255,255,255
78,50,255,255,255
79,25,255,255,255
80,100,255,255,255
81,250,255,255,255
82,25,255,255,255
83,25,255,255,255
84,25,255,255,255
85,75,255,255,255
86,25,255,255,255
87,50,255,255,255
88,25,255,255,255
89,50,255,255,255
90,25,255,255,255
91,1325,255,255,255
92,25,255,255,255
93,50,255,255,255
94,275,255,255,255
95,50,255,255,255
96,1525,255,255,255
97,25,255,255,255
98,250,255,255,255
99,25,255,255,255
100,25,255,255,255
101,2250,255,255,255
102,25,255,255,255
103,350,255,255,255
104,50,255,255,255
105,25,255,255,255
106,25,255,255,255
107,1275,255,255,255
108,25,255,255,255
109,25,255,255,255
110,25,255,255,255
111,100,255,255,255
112,25,255,255,255
113,50,255,255,255
114,242150,255,255,255
115,1300,255,255,255
116,475,255,255,255
117,50,255,255,255
118,50,255,255,255
119,25,255,255,255
120,25,255,255,255
121,25,255,255,255
122,50,255,255,255
123,25,255,255,255
124,25,255,255,255
125,25,255,255,255
126,50,255,255,255
127,75,255,255,255
128,25,255,255,255
129,25,255,255,255
130,375,255,255,255
131,125,255,255,255
132,25,255,255,255
133,25,255,255,255
134,225,255,255,255
135,425,255,255,255
136,225,255,255,255
137,275,255,255,255
138,1075,255,255,255
139,25,255,255,255
140,75,255,255,255
141,25,255,255,255
142,100,255,255,255
143,4142650,255,255,255
144,75,255,255,255
145,25,255,255,255
146,350,255,255,255
147,25,255,255,255
148,25,255,255,255
149,25,255,255,255
150,25,255,255,255
151,25,255,255,255
152,8375,255,255,255
153,25,255,255,255
154,650,255,255,255
155,25,255,255,255
156,25,255,255,255
157,25,255,255,255
158,100,255,255,255
159,725,255,255,255
160,250,255,255,255
161,25,255,255,255
162,25,255,255,255
163,25,255,255,255
164,50,255,255,255
165,425,255,255,255
166,250,255,255,255
167,25,255,255,255
168,1925,255,255,255
169,15725,255,255,255
170,1775,255,255,255
171,200,255,255,255
172,25,255,255,255
173,50,255,255,255
174,75,255,255,255
175,25,255,255,255
176,3850,255,255,255
177,25,255,255,255
178,14050,255,255,255
179,50,255,255,255
180,250,255,255,255
181,50,255,255,255
182,75,255,255,255
183,50,255,255,255
184,25,255,255,255
185,50,255,255,255
186,175,255,255,255
187,1100,255,255,255
188,25,255,255,255
189,25,255,255,255
190,25,255,255,255
191,175,255,255,255
192,75,255,255,255
193,25,255,255,255
194,700,255,255,255
195,500,255,255,255
196,25,255,255,255
197,50,255,255,255
198,125,255,255,255
199,25,255,255,255
200,25,255,255,255
201,125,255,255,255
202,100,255,255,255
203,25,255,255,255
204,75,255,255,255
205,25,255,255,255
206,25,255,255,255
207,17550,255,255,255
208,25,255,255,255
209,450,255,255,255
210,150,255,255,255
211,25,255,255,255
212,25,255,255,255
213,50,255,255,255
214,283575,255,255,255
215,25,255,255,255
216,25,255,255,255
217,75,255,255,255
218,25,255,255,255
219,300,255,255,255
220,50,255,255,255
221,385900,255,255,255
222,50,255,255,255
223,50,255,255,255
224,25,255,255,255
225,25,255,255,255
226,25,255,255,255
227,775,255,255,255
228,500,255,255,255
229,25,255,255,255
230,775,255,255,255
231,350,255,255,255
232,25,255,255,255
233,125,255,255,255
234,25,255,255,255
235,50,255,255,255
236,25,255,255,255
237,75,255,255,255
238,50,255,255,255
239,1000,255,255,255
240,150,255,255,255
241,25,255,255,255
242,525,255,255,255
243,75,255,255,255
244,25,255,255,255
245,50,255,255,255
246,25,255,255,255
247,125,255,255,255
248,50,255,255,255
249,25,255,255,255
250,50,255,255,255
251,25,255,255,255
252,25,255,255,255
253,150,255,255,255
254,25,255,255,255
255,725,255,255,255
256,25,255,255,255
257,50,255,255,255
258,400,255,255,255
259,25,255,255,255
260,200,255,255,255
261,200,255,255,255
262,25,255,255,255
263,100,255,255,255
264,100,255,255,255
265,1900,255,255,255
266,250,255,255,255
267,600,255,255,255
268,75,255,255,255
269,1625,255,255,255
270,25,255,255,255
271,175,255,255,255
272,25,255,255,255
273,100,255,255,255
274,25,255,255,255
275,25,255,255,255
276,75,255,255,255
277,75,255,255,255
278,25,255,255,255
279,1000,255,255,255
280,25,255,255,255
281,25,255,255,255
282,6250,255,255,255
283,700,255,255,255
284,50,255,255,255
285,50,255,255,255
286,25,255,255,255
287,5100,255,255,255
288,875,255,255,255
289,50,255,255,255
290,25,255,255,255
291,25,255,255,255
292,75,255,255,255
293,50,255,255,255
294,425,255,255,255
295,142650,255,255,255
296,25,255,255,255
297,75,255,255,255
298,50,255,255,255
299,75,255,255,255
300,75,255,255,255
301,25,255,255,255
302,25,255,255,255
303,25,255,255,255
304,2300,255,255,255
305,25,255,255,255
306,25,255,255,255
307,25,255,255,255
308,25,255,255,255
309,25,255,255,255
310,25,255,255,255
311,75,255,255,255
312,25,255,255,255
313,25,255,255,255
314,300,255,255,255
315,75,255,255,255
316,5000,255,255,255
317,25,255,255,255
318,25,255,255,255
319,25,255,255,255
320,300,255,255,255
321,375,255,255,255
322,150,255,255,255
323,41200,255,255,255
324,100,255,255,255
325,25,255,255,255
326,25,255,255,255
327,25,255,255,255
328,25,255,255,255
329,25,255,255,255
330,50,255,255,255
331,325,255,255,255
332,3200,255,255,255
333,7850,255,255,255
334,200,255,255,255
335,25,255,255,255
336,25,255,255,255
337,25,255,255,255
338,25,255,255,255
339,50,255,255,255
340,100,255,255,255
341,25,255,255,255
342,25,255,255,255
343,25,255,255,255
344,50,255,255,255
345,25,255,255,255
346,25,255,255,255
347,25,255,255,255
348,25,255,255,255
349,25,255,255,255
350,25,255,255,255
351,25,255,255,255
352,75,255,255,255
353,50,255,255,255
354,75,255,255,255
355,6300,255,255,255
356,25,255,255,255
357,100,255,255,255
358,375,255,255,255
359,1625,255,255,255
360,50,255,255,255
361,25,255,255,255
362,25,255,255,255
363,75,255,255,255
364,2225,255,255,255
365,7225,255,255,255
366,8825,255,255,255
367,250,255,255,255
368,25,255,255,255
369,600,255,255,255
370,25,255,255,255
371,50,255,255,255
372,125,255,255,255
373,100,255,255,255
374,25,255,255,255
375,25,255,255,255
376,950,255,255,255
377,100,255,255,255
378,400,255,255,255
379,950,255,255,255
380,1000,255,255,255
381,175,255,255,255
382,75,255,255,255
383,25,255,255,255
384,850,255,255,255
385,750,255,255,255
386,13800,255,255,255
387,4700,255,255,255
388,25,255,255,255
389,75,255,255,255
390,225,255,255,255
391,775,255,255,255
392,400,255,255,255
393,1350,255,255,255
394,2150,255,255,255
395,325,255,255,255
396,150,255,255,255
397,25,255,255,255
398,25,255,255,255
399,25,255,255,255
400,16300,255,255,255
401,25,255,255,255
402,25,255,255,255
403,50,255,255,255
404,1100,255,255,255
405,25,255,255,255
406,25,255,255,255
407,175,255,255,255
408,25,255,255,255
409,2500,255,255,255
410,25,255,255,255
411,100,255,255,255
412,50,255,255,255
413,25,255,255,255
414,25,255,255,255
415,25,255,255,255
416,75,255,255,255
417,525,255,255,255
418,50,255,255,255
419,25,255,255,255
420,125,255,255,255
421,425,255,255,255
422,450,255,255,255
423,100,255,255,255
424,25,255,255,255
425,475,255,255,255
426,100,255,255,255
427,450,255,255,255
428,430275,255,255,255
429,25,255,255,255
430,50,255,255,255
431,25,255,255,255
432,2375,255,255,255
433,90925,255,255,255
434,25,255,255,255
435,1425,255,255,255
436,25,255,255,255
437,50,255,255,255
438,25,255,255,255
439,25,255,255,255
440,25,255,255,255
441,200,255,255,255
442,25,255,255,255
443,1875,255,255,255
444,17775,255,255,255
445,25,255,255,255
446,25,255,255,255
447,50,255,255,255
448,50,255,255,255
449,450,255,255,255
450,125,255,255,255
451,25,255,255,255
452,25,255,255,255
453,2000,255,255,255
454,1150,255,255,255
455,50,255,255,255
456,650,255,255,255
457,25,255,255,255
458,75,255,255,255
459,1400,255,255,255
460,25,255,255,255
461,225,255,255,255
462,25,255,255,255
463,375,255,255,255
464,925,255,255,255
465,25,255,255,255
466,25,255,255,255
467,575,255,255,255
468,1350,255,255,255
469,25,255,255,255
470,25,255,255,255
471,925,255,255,255
472,50,255,255,255
473,375,255,255,255
474,22025,255,255,255
475,25,255,255,255
476,25,255,255,255
477,25,255,255,255
478,25,255,255,255
479,25,255,255,255
480,575,255,255,255
481,850,255,255,255
482,25,255,255,255
483,75,255,255,255
484,25,255,255,255
485,2200,255,255,255
486,850,255,255,255
487,125,255,255,255
488,25,255,255,255
489,125,255,255,255
490,900,255,255,255
491,375,255,255,255
492,25,255,255,255
493,450,255,255,255
494,100,255,255,255
495,25,255,255,255
496,25,255,255,255
497,50,255,255,255
498,25,255,255,255
499,50,255,255,255
500,2200,255,255,255
501,300,255,255,255
502,50,255,255,255
503,275,255,255,255
504,400,255,255,255
505,225,255,255,255
506,1600,255,255,255
507,25,255,255,255
508,25,255,255,255
509,1600,255,255,255
510,620750,255,255,255
511,175,255,255,255
512,25,255,255,255
513,25,255,255,255
514,25,255,255,255
515,300,255,255,255
516,25,255,255,255
517,75,255,255,255
518,1275,255,255,255
519,25,255,255,255
520,350,255,255,255
521,75,255,255,255
522,50,255,255,255
523,25,255,255,255
524,25,255,255,255
525,25,255,255,255
526,400,255,255,255
527,50,255,255,255
528,725,255,255,255
529,75,255,255,255
530,25,255,255,255
531,25,255,255,255
532,25,255,255,255
533,25,255,255,255
534,425,255,255,255
535,1500,255,255,255
536,25,255,255,255
537,25,255,255,255
538,50,255,255,255
539,300,255,255,255
540,450,255,255,255
541,50,255,255,255
542,125,255,255,255
543,150,255,255,255
544,25,255,255,255
545,25,255,255,255
546,1175,255,255,255
547,50,255,255,255
548,75,255,255,255
549,550,255,255,255
550,10850,255,255,255
551,25,255,255,255
552,25,255,255,255
553,275,255,255,255
554,575,255,255,255
555,775,255,255,255
556,575,255,255,255
557,50,255,255,255
558,25,255,255,255
559,50,255,255,255
560,25,255,255,255
561,25,255,255,255
562,175,255,255,255
563,3275,255,255,255
564,75,255,255,255
565,100,255,255,255
566,50,255,255,255
567,25,255,255,255
568,700,255,255,255
569,700,255,255,255
570,150,255,255,255
571,800,255,255,255
572,150,255,255,255
573,100,255,255,255
574,25,255,255,255
575,25,255,255,255
576,100,255,255,255
577,25,255,255,255
578,25,255,255,255
579,825,255,255,255
580,25,255,255,255
581,25,255,255,255
582,50,255,255,255
583,25,255,255,255
584,25,255,255,255
585,50,255,255,255
586,400,255,255,255
587,25,255,255,255
588,25,255,255,255
589,500,255,255,255
590,1250,255,255,255
591,25,255,255,255
592,75,255,255,255
593,25,255,255,255
594,25,255,255,255
595,1475,255,255,255
596,800,255,255,255
597,25,255,255,255
598,25,255,255,255
599,125,255,255,255
600,375,255,255,255
601,900,255,255,255
602,100,255,255,255
603,25,255,255,255
604,25,255,255,255
