 ,Area,Mean,Min,Max
1,7125,255,255,255
2,53850,255,255,255
3,900,255,255,255
4,25,255,255,255
5,25,255,255,255
6,75,255,255,255
7,3950,255,255,255
8,1025,255,255,255
9,1775,255,255,255
10,1710700,255,255,255
11,25,255,255,255
12,50,255,255,255
13,25,255,255,255
14,6900,255,255,255
15,225,255,255,255
16,1000,255,255,255
17,3400,255,255,255
18,25,255,255,255
19,4675,255,255,255
20,25,255,255,255
21,50,255,255,255
22,25,255,255,255
23,475,255,255,255
24,1225,255,255,255
25,25,255,255,255
26,150,255,255,255
27,1550,255,255,255
28,900,255,255,255
29,36850,255,255,255
30,1125,255,255,255
31,50,255,255,255
32,25,255,255,255
33,194800,255,255,255
34,100,255,255,255
35,54350,255,255,255
36,7700,255,255,255
37,13125,255,255,255
38,8050,255,255,255
39,18875,255,255,255
40,4525,255,255,255
41,650,255,255,255
42,25,255,255,255
43,500,255,255,255
44,800,255,255,255
45,13275,255,255,255
46,100,255,255,255
47,100,255,255,255
48,215325,255,255,255
49,2275,255,255,255
50,5550,255,255,255
51,1175,255,255,255
52,11700,255,255,255
53,25,255,255,255
54,161375,253.657,0,255
55,400,255,255,255
56,27625,255,255,255
57,225,255,255,255
58,325,255,255,255
59,50,255,255,255
60,1750,255,255,255
61,12750,255,255,255
62,241325,255,255,255
63,25,255,255,255
64,5400,255,255,255
65,25,255,255,255
66,125,255,255,255
67,25,255,255,255
68,25,255,255,255
69,375,255,255,255
70,260425,255,255,255
71,199325,255,255,255
72,1475,255,255,255
73,50,255,255,255
74,50,255,255,255
75,25,255,255,255
76,75,255,255,255
77,150,255,255,255
78,100,255,255,255
79,25,255,255,255
80,1550,255,255,255
81,1400,255,255,255
82,50,255,255,255
83,25,255,255,255
84,25,255,255,255
85,25,255,255,255
86,50,255,255,255
87,200,255,255,255
88,25,255,255,255
89,275,255,255,255
90,25,255,255,255
91,25,255,255,255
92,75,255,255,255
93,25,255,255,255
94,25,255,255,255
95,300,255,255,255
