 ,Area,Mean,Min,Max
1,1000,255.000,255,255
2,2075,255.000,255,255
3,400,255.000,255,255
4,750,255.000,255,255
5,11550,255.000,255,255
6,12200,255.000,255,255
7,875,255.000,255,255
8,275,255.000,255,255
9,500,255.000,255,255
10,75,255.000,255,255
11,25,255.000,255,255
12,302025,255.000,255,255
13,7875,255.000,255,255
14,25,255.000,255,255
15,42875,254.851,0,255
16,50,255.000,255,255
17,475,255.000,255,255
18,1325,255.000,255,255
19,25,255.000,255,255
20,31900,255.000,255,255
21,25,255.000,255,255
22,18525,255.000,255,255
23,183475,255.000,255,255
24,25,255.000,255,255
25,50,255.000,255,255
26,4600,255.000,255,255
27,43575,255.000,255,255
28,25,255.000,255,255
29,2500,255.000,255,255
30,1025,255.000,255,255
31,1700,255.000,255,255
32,6575,255.000,255,255
33,300,255.000,255,255
34,15375,255.000,255,255
35,61200,255.000,255,255
36,4775,255.000,255,255
37,7150,255.000,255,255
38,22475,255.000,255,255
39,2525,255.000,255,255
40,200,255.000,255,255
41,6425,255.000,255,255
42,175,255.000,255,255
43,725,255.000,255,255
44,5175,255.000,255,255
45,7225,255.000,255,255
46,4225,255.000,255,255
47,2900,255.000,255,255
48,225,255.000,255,255
49,50,255.000,255,255
50,1675,255.000,255,255
51,75,255.000,255,255
52,192425,254.768,0,255
53,3225,255.000,255,255
54,100,255.000,255,255
55,850,255.000,255,255
56,5075,255.000,255,255
57,50025,255.000,255,255
58,625,255.000,255,255
59,25,255.000,255,255
60,158775,255.000,255,255
61,50,255.000,255,255
62,625,255.000,255,255
63,103525,255.000,255,255
64,7000,255.000,255,255
65,625,255.000,255,255
66,1000,255.000,255,255
67,100,255.000,255,255
68,250,255.000,255,255
69,175,255.000,255,255
70,200,255.000,255,255
71,9225,255.000,255,255
72,25,255.000,255,255
73,575,255.000,255,255
74,150,255.000,255,255
75,5775,255.000,255,255
76,25,255.000,255,255
77,50,255.000,255,255
78,350,255.000,255,255
79,500,255.000,255,255
80,450,255.000,255,255
81,4550,255.000,255,255
82,50,255.000,255,255
83,425,255.000,255,255
84,10150,255.000,255,255
85,150,255.000,255,255
86,625,255.000,255,255
87,4300,255.000,255,255
88,150,255.000,255,255
89,50,255.000,255,255
90,425,255.000,255,255
91,25,255.000,255,255
92,50,255.000,255,255
93,150,255.000,255,255
94,25,255.000,255,255
95,5775,255.000,255,255
96,25,255.000,255,255
97,2475,255.000,255,255
98,50,255.000,255,255
